conf,F1,Precisao,Revocacao
0.03,0.4609438567941415,0.3007698433766923,0.9860748476936466
0.05,0.5545186640471512,0.3862470065001711,0.9825935596170584
0.08,0.6343537414965986,0.4703656998738966,0.9738903394255874
0.10,0.6749771967163272,0.5186915887850467,0.9660574412532638
0.15,0.7397907526155922,0.6041896361631753,0.9538729329852044
0.20,0.7806637806637806,0.6666666666666666,0.9416884247171452
0.25,0.8131197559115179,0.723693143245078,0.927763272410792
0.35,0.83630335681724,0.7982594936708861,0.8781549173194082
0.50,0.7767464582315584,0.8853006681514477,0.6919060052219321
